Age (ka),Alkane Depth (amcd),Alkanes (ng/g)
541.6,26.73,19.87
541.94,26.75,43.09
542.44,26.78,24.08
542.78,26.8,56.88
543.15,26.82,41.49
543.53,26.84,50.25
543.9,26.86,29.79
544.27,26.88,29.86
544.64,26.9,40.13
545.01,26.92,35.22
545.4,26.94,39.74
546.03,26.97,44.56
546.45,26.99,26.74
546.87,27.01,56.59
547.28,27.03,47.38
547.7,27.05,57.7
548.12,27.07,53.82
548.54,27.09,48.86
548.96,27.11,72.79
549.37,27.13,100.95
550,27.16,183.63
550.42,27.18,120.78
550.84,27.2,55.85
551.26,27.22,105.09
551.67,27.24,111.13
552.09,27.26,54.11
552.51,27.28,57.32
552.93,27.3,42.22
553.56,27.33,63.45
553.98,27.35,68.83
554.39,27.37,38.94
554.81,27.39,66.84
555.23,27.41,30.88
555.65,27.43,50.48
556.07,27.45,39.66
556.48,27.47,67.66
556.9,27.49,67.59
557.53,27.52,51.39
557.95,27.54,33.52
558.37,27.56,55.59
558.79,27.58,42.93
559.2,27.6,50.12
560.04,27.64,67.19
560.46,27.66,72.32
561.09,27.69,82.07
561.5,27.71,62.36
561.92,27.73,73.24
562.34,27.75,83.43
562.76,27.77,54.72
563.18,27.79,74.51
563.59,27.81,98.85
564.01,27.83,85.42
564.43,27.85,118.54
565.06,27.88,63.94
565.48,27.9,55.18
565.89,27.92,56.59
566.31,27.94,86.46
566.73,27.96,79.03
567.15,27.98,61.15
567.57,28,67.5
567.98,28.02,53.18
568.4,28.04,57.37
569.03,28.07,103.05
569.45,28.09,66.63
569.87,28.11,103.08
570.28,28.13,56.92
570.7,28.15,56.77
571.12,28.17,26.82
571.54,28.19,36.82
571.96,28.21,42.21
572.17,28.22,41.26
572.59,28.24,24.19
572.79,28.25,21.01
573.21,28.27,23.72
573.63,28.29,13.55
573.84,28.3,29.1
574.26,28.32,21.11
574.47,28.33,25.5
574.89,28.35,24.09
575.3,28.37,18.68
575.51,28.38,16.57
575.93,28.4,18.52
576.14,28.41,25.28
576.56,28.43,41.88
576.98,28.45,44.13
577.6,28.48,29.66
577.81,28.49,34.43
578.23,28.51,40.08
578.65,28.53,28.65
578.86,28.54,50.64
579.7,28.58,131.54
